scenario;keytype;size;unit;items_per_op;raw_block_hash;set3_load_factor;map_load_factor;set3_ns;map_ns;delta_pct;ci_low_pct;ci_high_pct;level;noise_floor_pct;resolved;repeats;validation_runs;inner_loops;block_length;autocorrelation;tie_rate;drift_p_set3;drift_p_map;set3_alloc_bytes;map_alloc_bytes;set3_mallocs;map_mallocs;skipped;seconds;note
build-presized;uint64;1000;ns/element;1000;true;0.0000;0.0000;8.7103;15.6795;44.448;43.443;46.357;0.950;1.5591;true;101;16;503;1;0.1473;0.0026;0.4457;0.9086;11.520;36.945;0.00200;0.00506;false;43.1;
build-presized;uint64;16384;ns/element;16384;true;0.0000;0.0000;8.7652;17.0803;48.683;47.533;50.314;0.950;1.5971;true;101;16;32;1;0.0816;0.0012;0.8609;0.0079;11.250;36.078;0.00012;0.00397;false;49.3;candidate B drifted during the run, shifting +4.10% from its first half to its second, the machine did not hold still
build-presized;uint64;262144;ns/element;262144;true;0.0000;0.0000;11.4557;23.8299;51.927;49.675;54.100;0.950;2.2663;true;101;10;2;1;0.0363;0.0064;0.3582;0.2326;11.125;36.081;0.00001;0.00391;false;41.3;
build-presized;uint64;2097152;ns/element;2097152;true;0.0000;0.0000;17.2578;58.9331;70.716;68.539;71.834;0.950;1.6599;true;11;2;1;1;0.1726;0.0134;0.3884;0.7086;11.082;36.078;0.00000;0.00391;false;10.6;
build-presized;string;1000;ns/element;1000;false;0.0000;0.0000;12.8793;21.7038;40.659;39.622;41.485;0.950;1.2886;true;101;16;404;5;0.2484;0.0002;0.8050;0.1548;21.760;54.612;0.00200;0.00504;false;50.6;
build-presized;string;16384;ns/element;16384;false;0.0000;0.0000;14.3983;29.8558;51.774;50.117;52.992;0.950;2.0486;true;101;16;23;5;0.3908;0.0008;0.0858;0.0014;21.250;53.330;0.00012;0.00399;false;61.0;candidate B drifted during the run, shifting -5.00% from its first half to its second, the machine did not hold still
build-presized;string;262144;ns/element;262144;false;0.0000;0.0000;13.4480;40.4211;66.730;59.330;68.563;0.950;3.6319;true;51;10;1;1;0.0778;0.0020;0.6968;0.1864;20.969;53.331;0.00001;0.00391;false;16.5;
build-presized;string;2097152;ns/element;2097152;false;0.0000;0.0000;35.6242;82.3690;56.750;55.606;61.538;0.950;1.4840;true;11;2;1;1;0.1640;0.0198;0.5849;0.2273;20.930;53.328;0.00000;0.00391;false;17.9;in 50% of A/A runs this setup reported a difference between identical code, well above the 10% expected, treat any confidence from it with suspicion
build-presized;struct3x64;1000;ns/element;1000;true;0.0000;0.0000;15.5748;38.6230;59.675;57.629;60.716;0.950;2.8625;true;101;16;279;5;0.3306;0.0042;0.3986;0.0824;34.064;82.000;0.00300;0.00500;false;54.8;
build-presized;struct3x64;16384;ns/element;16384;true;0.0000;0.0000;16.9332;47.3816;64.262;61.945;65.423;0.950;1.6899;true;101;16;22;5;0.4278;0.0014;0.6429;0.3399;31.251;80.078;0.00018;0.00397;false;81.7;
build-presized;struct3x64;262144;ns/element;262144;true;0.0000;0.0000;15.0311;62.7579;76.049;73.763;77.079;0.950;1.3942;true;51;6;1;1;0.1268;0.0058;0.4732;0.8318;30.813;80.082;0.00001;0.00392;false;14.3;
build-presized;struct3x64;2097152;ns/element;2097152;true;0.0000;0.0000;43.9806;163.5798;73.114;70.865;75.593;0.950;1.3805;true;11;2;1;2;0.4170;0.0050;0.2875;0.4548;30.777;80.078;0.00000;0.00391;false;28.8;
build-growing;uint64;1000;ns/element;1000;true;0.0000;0.0000;24.9414;46.0901;45.886;44.443;46.957;0.950;2.5375;true;101;16;145;1;0.1114;0.0008;0.3766;0.7593;34.088;74.264;0.01900;0.02000;false;38.2;
build-growing;uint64;16384;ns/element;16384;true;0.0000;0.0000;28.8513;48.6466;40.692;39.529;42.226;0.950;1.8674;true;101;16;10;1;0.0400;0.0026;0.0320;0.1727;39.776;72.179;0.00201;0.00879;false;46.5;candidate A drifted during the run, shifting -3.13% from its first half to its second, the machine did not hold still
build-growing;uint64;262144;ns/element;262144;true;0.0000;0.0000;37.7754;60.2513;37.304;35.006;40.020;0.950;4.6952;true;51;6;1;1;-0.0188;0.0036;0.4102;0.5874;41.674;72.163;0.00018;0.00790;false;17.9;
build-growing;uint64;2097152;ns/element;2097152;true;0.0000;0.0000;55.0169;80.1919;31.393;29.306;33.222;0.950;2.4641;true;11;2;1;1;-0.0702;0.0036;0.4723;0.6663;39.338;72.159;0.00003;0.00782;false;19.1;in 50% of A/A runs this setup reported a difference between identical code, well above the 10% expected, treat any confidence from it with suspicion
